,_Player_,_Born_,_Squad_,defense_Blocks_Blocks,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense__Int,defense__Clr,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Touches,passing_Total_Att,passing_Short_Att,passing_Medium_Att,passing_Long_Att,passing__KP,passing__CrsPA,passing__PrgP,possession_Carries_PrgDist,possession_Carries_TotDist,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Take-Ons_Att,possession_Take-Ons_Succ,gca_SCATypes_TO,gca_SCATypes_Sh,gca_SCATypes_Fld,gca_SCATypes_Def,gca_SCATypes_PassLive,gca_SCATypes_PassDead,shooting_Standard_Dist,shooting_Expected_npxG,playingtime_PlayingTime_Min,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_AerialDuels_Won,misc_AerialDuels_Lost
1,Sargis Adamyan,1993,Köln,-0.4653465346534653,-0.5736040609137056,-0.6460674157303371,-0.6727272727272727,-0.788235294117647,0.7704918032786886,-0.7988826815642458,-0.8678414096916299,-0.9078498293515358,-0.8840579710144928,-0.7107219956824179,-0.4009508716323296,0.22379603399433431,-0.6925450438040663,-0.7770859277708593,-0.7311320754716981,-0.8195771339075959,-0.8624641833810888,-0.5102040816326531,-0.5662650602409638,-0.642384105960265,-0.7434921663090563,-0.6803198339323813,-0.6814897165091718,-0.1122448979591836,-0.006134969325153418,-0.49767441860465117,-1.0,1.2500000000000002,-1.0,-1.0,-0.4086242299794662,-1.0,-0.09221902017291078,0.4166666666666664,-0.600771456123433,-0.17741935483870971,-0.6804733727810651,0.10769230769230767,-0.645320197044335,-0.21739130434782605
2,Karim Adeyemi,2002,Dortmund,-0.07065217391304347,-0.4432234432234432,-0.33439490445859876,-0.5210084033613446,-0.4818181818181818,-0.1363636363636364,-0.5316901408450704,-0.8792372881355932,-0.7882472137791287,-0.7672491442983246,-0.5606513151556027,0.2704161588020199,0.34385201305767127,-0.4011842043918131,-0.5117795895417486,-0.3963916851876062,-0.6447801376009572,-0.7715939447907391,0.31683168316831684,-1.0,-0.4257234726688103,-0.21276122102568384,-0.1311947030590412,-0.3925489933783694,0.6110032362459548,1.098707403055229,0.6069651741293531,0.9487179487179486,0.39705882352941174,0.9000000000000001,2.4545454545454546,0.08571428571428563,-1.0,0.03799058084772382,0.22672672672672675,-0.11000709723207946,0.3389261744966443,0.4578005115089515,-0.4864864864864865,-0.5388349514563107,-0.7840909090909091
3,Amine Adli,2000,Leverkusen,0.38775510204081637,-0.3318777292576419,-0.3486590038314176,-0.6964285714285714,-0.4603174603174603,2.0222222222222226,-0.6382978723404256,-0.7955326460481099,-0.862780269058296,-0.7812554338375934,-0.3375531599248343,0.3476363636363636,0.6824224519940917,-0.3250151545766822,-0.41203476983349663,-0.32501676727028833,-0.5456448236998873,-0.6672423719055843,0.011904761904761862,-1.0,-0.29882154882154877,-0.3005293551491819,-0.2779025485792403,-0.24168282858421605,0.9720575783234547,0.426917510853835,0.2923976608187135,0.21428571428571436,0.4782608695652173,2.238095238095238,0.5454545454545454,0.11475409836065566,-0.12068965517241376,-0.21941620203345383,0.8599562363238513,-0.16652430899586596,0.8264462809917357,1.0330788804071247,0.4468085106382979,0.19660194174757287,0.47357293868921774
5,Naouirou Ahamada,2002,Stuttgart,-0.32275132275132273,-0.4048140043763676,-0.3383458646616541,-0.4885844748858447,-0.3945945945945946,-0.09433962264150944,-0.5601374570446735,-0.821656050955414,-0.762962962962963,-0.6180662888545423,-0.2762973352033661,-0.34942820838627703,-0.4617737003058104,-0.4035068311300404,-0.42007536827680714,-0.30844793713163066,-0.4689228766677514,-0.6988235294117647,-0.25,-0.5492957746478874,-0.24895222129086336,-0.12462886523281917,-0.1269699238509158,-0.3812532012975926,-0.21095890410958903,0.06990881458966565,0.04918032786885246,0.06666666666666667,-0.38461538461538464,-0.6097560975609756,0.45454545454545453,-0.015873015873015872,-1.0,0.1861791345186179,-0.6855036855036855,-0.1988538681948424,-0.152317880794702,-0.25885558583106266,-0.6363636363636364,-0.7795275590551181,-0.3771289537712895
6,Ludovic Ajorque,1994,Mainz 05,-0.6283618581907091,-0.7881040892193308,-0.7164179104477612,-0.9283018867924528,-0.625615763546798,-0.7285714285714285,-0.9559164733178654,-0.7647058823529411,-0.8455284552845529,-0.869758064516129,-0.31631012736490666,0.09232643118148598,0.935656836461126,-0.3779495044832468,-0.40083586626139817,-0.16128415822663866,-0.5956619603028442,-0.747148288973384,-0.09191176470588236,-1.0,-0.48151408450704225,-0.7157027572293208,-0.5269253039953677,-0.1516944593867671,0.4926062846580407,-0.5148936170212766,-0.38425925925925924,-1.0,0.7924528301886794,0.5405405405405405,-1.0,0.05106382978723406,-1.0,-0.12616532007458056,1.1265206812652069,-0.23382504745096733,-0.05818965517241385,0.1107692307692308,0.41791044776119407,1.4490084985835696,1.37151248164464
7,Kevin Akpoguma,1995,Hoffenheim,1.0610687022900764,1.8066528066528067,1.759581881533101,2.5526315789473686,1.3142857142857145,0.2558139534883721,0.5882352941176471,1.0588235294117647,1.3988816402609505,1.1525555989075302,0.3948339483394835,-0.5703285420944558,-0.5471698113207547,0.40631730078966266,0.3865944482058226,0.10189982728842832,0.6679146387120929,0.5299055613850997,-0.664179104477612,-0.2894736842105263,0.38964577656675753,0.23613779545149902,0.33486477115117885,0.31664037854889593,-0.6148837209302326,-0.2514177693761815,-0.46835443037974683,0.2,-1.0,-1.0,-1.0,-0.46268656716417916,-1.0,0.056002574831026705,-0.7041095890410959,0.24875480290308802,0.3686635944700461,0.008849557522123958,-1.0,1.0981595092024539,0.5789473684210527
12,Nadiem Amiri,1996,Leverkusen,-0.4052478134110787,-0.4432314410480349,-0.6091954022988506,-0.6205357142857143,-0.2804232804232804,-0.2444444444444444,-0.6382978723404256,-0.7079037800687286,-0.7560538116591928,-0.6482350895496436,-0.43002670359014933,-0.28290909090909094,-0.6233382570162481,-0.4641341685188927,-0.4723922624877571,-0.4686787391012743,-0.5401706649492836,-0.33448474381116866,-0.2410714285714286,-0.6304347826086957,-0.21296296296296288,-0.4534107314725698,-0.4095954171142141,-0.4547217663732657,-0.5681625740897545,-0.06512301013024605,-0.10526315789473682,0.21428571428571436,-0.6304347826086957,0.619047619047619,-1.0,-0.28779599271402556,0.17241379310344832,0.35487044932764805,-0.5908096280087527,-0.4325395469609485,-0.3443526170798898,0.08142493638676847,0.4468085106382979,-0.9587378640776699,-0.6405919661733616
13,Robert Andrich,1994,Leverkusen,0.3381924198250729,1.2641921397379914,1.475095785440613,1.2767857142857144,1.4285714285714286,0.5111111111111112,1.531914893617021,0.6065292096219932,0.7228699551569505,0.596244131455399,0.7166452378597568,-0.2952727272727273,-0.5228951255539143,0.48050111133562334,0.5141405484818804,0.5392354124748492,0.5902431170503943,0.2037996545768567,-0.08928571428571433,-0.26086956521739135,0.4166666666666668,-0.1512271414821944,-0.03167008430166326,0.36065940623601367,-0.8848433530906011,-0.8277858176555717,-0.7514619883040936,-1.0,0.4782608695652173,-0.5952380952380952,3.6363636363636362,0.14571948998178497,-1.0,0.20432928829124275,-0.40481400437636755,0.39745122826198365,0.6391184573002756,-0.13486005089058523,-1.0,1.3106796116504855,0.5454545454545454
14,Angeliño,1997,Hoffenheim,0.4656488549618321,0.4968814968814969,0.5052264808362369,0.5000000000000001,0.5428571428571429,0.2558139534883721,0.6544117647058824,0.9705882352941176,0.30848089468779116,0.776824034334764,0.7658735208041737,1.4625256673511293,-0.0943396226415095,0.9361091170136397,1.0907244414353419,0.7305699481865285,1.0756271059528266,2.2014690451206715,2.3582089552238807,5.868421052631579,0.7656675749318802,0.17340601402975736,0.22252080443828012,0.7141167192429022,1.0093023255813953,-0.04725897920604916,-0.012658227848101222,-0.6,0.05882352941176473,0.3170731707317074,0.7999999999999999,1.3411513859275053,4.625,0.1216607660122304,-0.4575342465753424,0.6758929842037853,-0.5023041474654378,0.5398230088495576,0.826086956521739,-0.44785276073619634,-0.05263157894736842
15,Waldemar Anton,1996,Stuttgart,0.8624338624338624,0.7155361050328227,0.6240601503759399,0.9726027397260274,0.6432432432432432,-0.09433962264150944,1.0893470790378006,2.1337579617834397,2.2131687242798352,2.099433281813498,1.0252454417952315,0.012452350698856416,-0.11926605504587157,1.154986448365507,1.2572113737581363,0.7974638328272906,1.717865278229743,1.439529411764706,-0.5,-0.09859154929577464,0.8105616093880972,1.640017379969585,1.4195321487920236,1.0911729554379375,-0.2401826484018265,-0.07598784194528875,-0.003278688524590164,-0.28888888888888886,0.5384615384615384,-1.0,-1.0,-0.1111111111111111,-0.14666666666666667,-0.017779268701777963,-0.371007371007371,0.6813753581661891,0.6423841059602649,0.35149863760217986,-0.6363636363636364,0.7322834645669292,0.9464720194647201
