,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
0,1,Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,Matches
1,2,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,Matches
2,3,Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0,Matches
3,4,Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,Matches
4,5,Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,Matches
5,6,Finn Dahmen,de GER,GK,Mainz 05,24,1998,8,8,720,8.0,16,2.0,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7,Matches
6,7,Tjark Ernst,de GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
7,8,Ralf Fährmann,de GER,GK,Schalke 04,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,Matches
8,9,Mark Flekken,nl NED,GK,Freiburg,29,1993,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,Matches
9,10,Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,23,23,2070,23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,Matches
10,11,Lennart Grill,de GER,GK,Union Berlin,23,1999,5,5,450,5.0,11,2.2,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,Matches
11,12,Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,Matches
12,13,Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,33,33,2969,33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0,Matches
