,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,Matches
10,11,Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,1.4,1,0,0,2,3,0,0,1,4,0,0,0,9,6,1,85.7,Matches
11,12,Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,14.6,5,0,0,11,32,1,126,14,14,0,0,0,93,10,5,66.7,Matches
12,13,Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,1.0,0,0,0,1,3,0,1,0,2,0,0,0,8,0,0,,Matches
13,14,Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
14,15,Robert Andrich,de GER,MFDF,Leverkusen,28.0,1994.0,18.8,4,0,0,23,14,0,14,20,18,0,0,0,122,20,22,47.6,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,32.1,7,0,0,25,26,0,14,40,25,1,1,1,203,79,42,65.3,Matches
