,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,15.6,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,25.7,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
3,4,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,2.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
5,6,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0,Matches
7,8,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,16.8,57,3.4,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0,Matches
8,9,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,18.6,32,1.72,22,3,4,1,2,0,1,0.05,0,0,0,1,0,0,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,12.8,18,1.4,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0,Matches
11,12,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
12,13,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0,Matches
13,14,Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0,Matches
14,15,Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0,Matches
15,16,Carles Aleñá,es ESP,MF,Getafe,25.0,1998.0,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0,Matches
16,17,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,19.0,2004.0,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0,Matches
17,18,Tadeo Allende,ar ARG,MFFW,Celta Vigo,24.0,1999.0,3.7,9,2.41,4,0,1,3,1,0,0,0.0,0,0,0,0,0,0,Matches
18,19,Domingos André Ribeiro Almeida,pt POR,FWMF,Valencia,23.0,2000.0,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0,Matches
19,20,Marcos Alonso,es ESP,DF,Barcelona,32.0,1990.0,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0,Matches
20,21,Adrià Altimira,es ESP,DFMF,Villarreal,22.0,2001.0,8.6,6,0.7,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
21,22,Sergi Altimira,es ESP,MF,Betis,21.0,2001.0,6.3,14,2.22,8,1,2,1,2,0,0,0.0,0,0,0,0,0,0,Matches
22,23,Gastón Álvarez,uy URU,DF,Getafe,23.0,2000.0,28.2,22,0.78,17,1,1,3,0,0,1,0.04,1,0,0,0,0,0,Matches
23,24,Hugo Álvarez,es ESP,MFDF,Celta Vigo,20.0,2003.0,8.5,31,3.66,25,2,4,0,0,0,2,0.24,1,0,1,0,0,0,Matches
24,25,Yeray Álvarez,es ESP,DF,Athletic Club,28.0,1995.0,12.8,10,0.78,8,2,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
25,26,Selim Amallah,ma MAR,FWMF,Valencia,26.0,1996.0,6.7,14,2.09,7,0,3,0,4,0,1,0.15,1,0,0,0,0,0,Matches
26,27,Amath,sn SEN,FWMF,Mallorca,27.0,1996.0,4.4,17,3.87,6,0,5,2,3,1,0,0.0,0,0,0,0,0,0,Matches
27,28,Miguel Ángel Rubio,es ESP,DF,Granada,25.0,1998.0,17.3,6,0.35,5,0,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
28,29,Fabrizio Angileri,ar ARG,DFMF,Getafe,29.0,1994.0,1.8,9,4.91,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
