,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.38,45.0,42.0,3.0,0.08,3.08,60.5,50.1,10.4,0.28,1.79,Matches
1,2,Himad Abdelli,dz ALG,MFFW,Angers,22,1999,30,2137.0,71.0,62.5,23.7,24,83.0,14,6,23.0,6,0.33,21.0,49.0,-28.0,-1.18,0.22,23.8,40.7,-17.0,-0.72,-0.45,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,33,2894.0,88.0,84.6,32.2,33,88.0,30,0,,0,2.24,59.0,22.0,37.0,1.15,0.81,57.7,35.9,21.8,0.68,0.43,Matches
3,4,Laurent Abergel,fr FRA,MF,Lorient,29,1993,29,2342.0,81.0,68.5,26.0,28,83.0,19,1,26.0,0,1.72,38.0,35.0,3.0,0.12,0.45,31.6,39.7,-8.1,-0.31,0.16,Matches
4,5,Matthis Abline,fr FRA,FWMF,Auxerre,19,2003,19,806.0,42.0,23.6,9.0,8,73.0,1,11,20.0,1,1.11,7.0,14.0,-7.0,-0.78,-0.06,11.7,13.3,-1.6,-0.18,0.3,Matches
5,6,Matthis Abline,fr FRA,FWMF,Rennes,19,2003,11,107.0,10.0,3.1,1.2,0,,0,11,10.0,4,2.27,5.0,0.0,5.0,4.21,3.53,2.9,1.3,1.6,1.36,0.93,Matches
6,7,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,22,2000,37,2473.0,67.0,72.3,27.5,28,80.0,12,9,26.0,0,1.27,38.0,45.0,-7.0,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01,Matches
7,8,Mohamed Achi,fr FRA,FW,Nantes,20,2002,2,36.0,18.0,1.1,0.4,0,,0,2,18.0,6,0.5,1.0,0.0,1.0,2.5,3.01,0.8,0.0,0.7,1.87,2.15,Matches
8,9,Martin Adeline,fr FRA,MFFW,Reims,18,2003,5,107.0,21.0,3.1,1.2,0,,0,5,21.0,10,1.4,3.0,5.0,-2.0,-1.68,-1.74,2.1,2.7,-0.7,-0.57,-0.82,Matches
9,10,Loïc Affamah,fr FRA,FW,Nantes,20,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
