,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,2.7,1,0,0,6,5,2,2,0,1,1.0,0.0,0,1.0,6.0,5.0,54.5,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,26.5,1,0,0,19,24,3,9,32,13,0.0,0.0,0,102.0,70.0,37.0,65.4,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,15.6,3,0,0,26,9,1,50,20,17,0.0,1.0,0,94.0,15.0,10.0,60.0,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,24.8,8,0,0,37,30,0,12,12,20,0.0,0.0,0,135.0,11.0,16.0,40.7,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,0.2,0,0,0,0,3,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,7.8,5,0,0,15,5,0,1,12,11,0.0,1.0,0,29.0,5.0,7.0,41.7,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,0.6,0,0,0,2,1,0,1,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,25.7,7,0,0,16,23,6,150,7,20,0.0,0.0,0,140.0,10.0,19.0,34.5,Matches
10,11,Carlos Alcaraz,ar ARG,MF,Juventus,20.0,2002.0,4.2,0,0,0,5,5,0,1,5,6,0.0,0.0,0,17.0,2.0,9.0,18.2,Matches
11,12,Pontus Almqvist,se SWE,FWMF,Lecce,24.0,1999.0,23.4,5,0,0,29,35,1,21,14,29,2.0,0.0,0,69.0,14.0,22.0,38.9,Matches
12,13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19.0,2004.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches
13,14,Bruno Amione,ar ARG,DF,Hellas Verona,21.0,2002.0,6.4,2,0,0,10,6,0,1,9,3,0.0,0.0,0,39.0,19.0,10.0,65.5,Matches
14,15,Felipe Anderson,br BRA,FWMF,Lazio,30.0,1993.0,30.8,3,0,0,30,36,4,57,27,45,0.0,0.0,0,139.0,15.0,16.0,48.4,Matches
15,16,Angeliño,es ESP,DF,Roma,26.0,1997.0,12.7,2,0,0,13,10,1,53,12,11,0.0,0.0,1,55.0,15.0,9.0,62.5,Matches
16,17,Houssem Aouar,dz ALG,MFFW,Roma,25.0,1998.0,8.4,3,0,0,10,11,3,10,4,11,0.0,0.0,0,39.0,10.0,11.0,47.6,Matches
17,18,Simone Aresti,it ITA,GK,Cagliari,37.0,1986.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
18,19,Marko Arnautović,at AUT,FW,Inter,34.0,1989.0,8.9,0,0,0,11,15,8,7,5,4,0.0,0.0,0,17.0,4.0,7.0,36.4,Matches
19,20,Kristjan Asllani,al ALB,MF,Inter,21.0,2002.0,8.7,1,0,0,4,19,0,35,11,2,0.0,0.0,0,57.0,4.0,7.0,36.4,Matches
20,21,Emil Audero,it ITA,GK,Inter,26.0,1997.0,3.7,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches
21,22,Tommaso Augello,it ITA,DF,Cagliari,28.0,1994.0,26.9,5,0,0,15,14,1,153,17,19,0.0,0.0,0,147.0,34.0,28.0,54.8,Matches
22,23,Carlos Augusto,br BRA,DF,Inter,24.0,1999.0,19.2,1,0,0,17,6,1,40,16,21,0.0,0.0,0,74.0,59.0,26.0,69.4,Matches
23,24,Yann Aurel Bisseck,de GER,DF,Inter,22.0,2000.0,10.0,0,0,0,6,11,2,5,5,6,0.0,0.0,0,37.0,18.0,17.0,51.4,Matches
24,25,Sardar Azmoun,ir IRN,FWMF,Roma,28.0,1995.0,6.5,4,0,0,8,11,2,2,3,5,2.0,0.0,0,19.0,13.0,15.0,46.4,Matches
25,26,Paulo Azzi,br BRA,DFMF,Cagliari,29.0,1994.0,10.6,1,0,0,5,4,4,48,16,11,0.0,0.0,0,59.0,13.0,11.0,54.2,Matches
26,27,Oussama El Azzouzi,ma MAR,MF,Bologna,22.0,2001.0,6.1,4,0,0,14,7,1,2,6,7,0.0,0.0,0,37.0,5.0,11.0,31.3,Matches
27,28,Milan Badelj,hr CRO,MF,Genoa,34.0,1989.0,28.2,6,0,0,24,14,0,14,50,27,0.0,0.0,0,177.0,12.0,13.0,48.0,Matches
28,29,Jaime Báez,uy URU,FWMF,Frosinone,28.0,1995.0,5.6,1,0,0,6,15,5,24,4,1,1.0,0.0,0,29.0,4.0,5.0,44.4,Matches
29,30,Nicola Bagnolini,it ITA,GK,Bologna,19.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
30,31,Nedim Bajrami,al ALB,MFFW,Sassuolo,24.0,1999.0,14.6,0,0,0,12,6,3,78,6,6,0.0,0.0,0,57.0,2.0,11.0,15.4,Matches
31,32,Mitchel Bakker,nl NED,DF,Atalanta,23.0,2000.0,4.2,1,0,0,4,4,1,13,3,3,0.0,0.0,0,30.0,4.0,1.0,80.0,Matches
32,33,Tommaso Baldanzi,it ITA,MFFW,Empoli,20.0,2003.0,8.3,1,0,0,4,16,2,16,2,2,0.0,0.0,0,27.0,1.0,6.0,14.3,Matches
33,34,Tommaso Baldanzi,it ITA,FWMF,Roma,20.0,2003.0,5.8,2,0,0,7,14,1,7,0,5,0.0,0.0,0,20.0,0.0,2.0,0.0,Matches
34,35,Lameck Banda,zm ZAM,FW,Lecce,22.0,2001.0,15.0,5,1,0,32,30,9,51,3,23,0.0,0.0,0,82.0,9.0,16.0,36.0,Matches
35,36,Daniel Bandeira,pt POR,MF,Hellas Verona,23.0,2000.0,5.0,2,0,0,5,3,0,7,3,5,0.0,0.0,0,34.0,4.0,12.0,25.0,Matches
36,37,Mattia Bani,it ITA,DF,Genoa,29.0,1993.0,25.6,9,0,0,21,28,2,1,22,10,0.0,0.0,0,98.0,49.0,42.0,53.8,Matches
37,38,Antonín Barák,cz CZE,MFFW,Fiorentina,28.0,1994.0,9.0,2,0,0,8,7,1,4,2,2,0.0,0.0,0,35.0,13.0,22.0,37.1,Matches
38,39,Nicolò Barella,it ITA,MF,Inter,26.0,1997.0,31.6,7,0,0,28,27,3,51,10,30,1.0,0.0,0,167.0,20.0,15.0,57.1,Matches
39,40,Enzo Barrenechea,ar ARG,MF,Frosinone,22.0,2001.0,31.2,10,0,0,32,52,0,1,27,42,0.0,0.0,0,231.0,51.0,43.0,54.3,Matches
40,41,Davide Bartesaghi,it ITA,DFMF,Milan,17.0,2005.0,0.9,0,0,0,1,1,0,0,0,0,0.0,0.0,0,2.0,3.0,0.0,100.0,Matches
41,42,Federico Baschirotto,it ITA,DF,Lecce,26.0,1996.0,36.6,3,1,0,30,4,0,3,23,12,0.0,2.0,0,153.0,93.0,70.0,57.1,Matches
