,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6.0,4.0,15.0,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26.0,125.0,55.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,6,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,33,29,2311,25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83.0,212.0,124.0,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37,Matches
10,11,Carlos Alcaraz,ar ARG,MF,Juventus,20.0,2002.0,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6.0,27.0,9.0,0.0,0.24,0.24,0.0,0.24,0.09,0.03,0.12,0.09,0.12,Matches
11,12,Pontus Almqvist,se SWE,FWMF,Lecce,24.0,1999.0,30,25,2107,23.4,2,1,3,2,0,0,5,0,2.3,2.3,2.7,5.0,72.0,32.0,137.0,0.09,0.04,0.13,0.09,0.13,0.1,0.12,0.22,0.1,0.22,Matches
